Designator,Manufacturer,Manufacturer Part,Category,Value,Package,
R17,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R18,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R19,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R20,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R21,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R22,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R23,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R24,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R25,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R26,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R27,Bourns,CR0603-FX-1002ELF,Resistor,10 kΩ,603,
R28,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R29,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R30,Bourns,CR0603-FX-1001ELF,Resistor,1 KΩ,603,
R31,Bourns,CR0603-FX-1002ELF,Resistor,10 KΩ,603,
R32,Bourns,CR0603-FX-27R4ELF,Resistor,27.4 Ω,603,
R33,Bourns,CR0603-FX-27R4ELF,Resistor,27.4 Ω,603,
R35,Bourns,CR0603-FX-3300ELF,Resistor,330 Ω,603,
R36,Bourns,CR0603-FX-1001ELF,Resistor,1 kΩ,603,
R37,Bourns,CR0603-FX-1621ELF,Resistor,1.62 kΩ,603,
RESET,C&K,PTS526SKG15SMTR2LFS,Tactile Switch,,,
SPIFLASH,Winbond,W25Q128JVEIQ,Flash Memory,,WSON-8,
SW1,Skyworks,SKYA21026,RF Switch,,QFN-12,
SW2,Skyworks,SKYA21026,RF Switch,,QFN-12,
THRESHOLD,Bourns,3361P-1-501GLF,Trimmer,500 Ω,,
USB,GTC,USB4120-03-C,Connector,,,
